CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
PROMOTION,LONG_DESCRIPTION,NATIONAL BREAKFAST DAY COUPON,NBD CPN,
PROMOTION,LONG_DESCRIPTION,NATIONAL BREAKFAST DAY INSERT,NBD INS,
PROMOTION,LONG_DESCRIPTION,NATIONAL BREAKFAST DAY IRC,NBD IRC,
PROMOTION,LONG_DESCRIPTION,NCAA-AR,NCAA-AR,
PROMOTION,LONG_DESCRIPTION,NCAA-FL,NCAA-FL,
PROMOTION,LONG_DESCRIPTION,NCAA-GA,NCAA-GA,
PROMOTION,LONG_DESCRIPTION,NCAA-MI,NCAA-MI,
PROMOTION,LONG_DESCRIPTION,NCAA-NC,NCAA-NC,
PROMOTION,LONG_DESCRIPTION,NEW SIZE,NEW SIZE,
PROMOTION,LONG_DESCRIPTION,NEW TRI GRAIN,NEW TRI GRN,
PROMOTION,LONG_DESCRIPTION,NHL,NHL,
PROMOTION,LONG_DESCRIPTION,NINTENDO,NTENDO,
PROMOTION,LONG_DESCRIPTION,NLI UPDATE,NLI UPDATE,
PROMOTION,LONG_DESCRIPTION,NLI UPDATE KROGER,NLI UPDT KR,
PROMOTION,LONG_DESCRIPTION,NO COUPON,NO CPN,
PROMOTION,LONG_DESCRIPTION,NOTCHED CARTON,NOTCHD CRTN,
PROMOTION,LONG_DESCRIPTION,NPF PREMIUM IRC,NPF PRM IRC,
PROMOTION,LONG_DESCRIPTION,NTLLA PROM,NTLLA PROM,
PROMOTION,LONG_DESCRIPTION,NUTELLA PROMOTION,NTLLA PROM,
PROMOTION,LONG_DESCRIPTION,OCEAN SPRAY CRAISINS INSERT,OSC INS,
PROMOTION,LONG_DESCRIPTION,OCPR,OCPR,
PROMOTION,LONG_DESCRIPTION,OFF THE GRID WAFFLES,OFF THE GRID WAFFLES,
PROMOTION,LONG_DESCRIPTION,OLYMPICS,OLYMP,
PROMOTION,LONG_DESCRIPTION,ON-PACK PROMO,PCK PROM,
PROMOTION,LONG_DESCRIPTION,ON-PACK PROMO - HALLOWEEN,ON-PCK PRM HLLWN,
PROMOTION,LONG_DESCRIPTION,ORIGINS,ORIGINS,
PROMOTION,LONG_DESCRIPTION,OTHER,ADD NEW PROMO TO KEY,
PROMOTION,LONG_DESCRIPTION,OTHER NEW,OTHER NEW,
PROMOTION,LONG_DESCRIPTION,OWL,OWL,
PROMOTION,LONG_DESCRIPTION,OWN IT,OWN IT,
PROMOTION,LONG_DESCRIPTION,PACKAGING REFRESH,PKG RFSH,
PROMOTION,LONG_DESCRIPTION,PALLET SKIRT,PAL SKRT,
PROMOTION,LONG_DESCRIPTION,PAW PATROL,PW PTRL,
PROMOTION,LONG_DESCRIPTION,PDR 19,19,
PROMOTION,LONG_DESCRIPTION,PDR CHEETAH,CHTH,
PROMOTION,LONG_DESCRIPTION,PDR MICHELIN,MCHLN,
PROMOTION,LONG_DESCRIPTION,PEET'S COFFEE,PTS CFFE,
PROMOTION,LONG_DESCRIPTION,PERFORATED CARTON CHANGE,PFRTD CRTN CHG,
PROMOTION,LONG_DESCRIPTION,PFG,PFG,
PROMOTION,LONG_DESCRIPTION,PICK YOUR POP-TART,PICK YOUR PT,
PROMOTION,LONG_DESCRIPTION,PIPO,PIPO,
PROMOTION,LONG_DESCRIPTION,PLANT IT FORWARD,PLNT FRWD,
PROMOTION,LONG_DESCRIPTION,POKEMAN,PKMN,
PROMOTION,LONG_DESCRIPTION,POP THE VOTE,PP VT,
PROMOTION,LONG_DESCRIPTION,POP-TARTS BOWL,PT BWL,
PROMOTION,LONG_DESCRIPTION,POPTART & PRINGLES MIX DISPLAY,PT PG MX,
PROMOTION,LONG_DESCRIPTION,POSITIVITY CHALLENGE,PSTVTY CHLG,
PROMOTION,LONG_DESCRIPTION,POST MICHELIN,POST MICHELIN,
PROMOTION,LONG_DESCRIPTION,PPK 5118,PPK 5118,
PROMOTION,LONG_DESCRIPTION,PRE PRICE,PP,
PROMOTION,LONG_DESCRIPTION,PRGINOV,PRGINOV,
PROMOTION,LONG_DESCRIPTION,PRICE UP,PRICE UP,
PROMOTION,LONG_DESCRIPTION,PRINGLES GAMING,PRG GMNG,
PROMOTION,LONG_DESCRIPTION,PROJECT COOPERSTOWN,CPRSTWN,
PROMOTION,LONG_DESCRIPTION,PROJECT KELSEY BE,PRJCT KLSY BE,
PROMOTION,LONG_DESCRIPTION,PROTEIN,PRTN,
