T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_MFG_CO,COUNTRY,MFG_CO_ABBREV,MFG_COMMENT,INACTIVE,PRIVATE_LABEL
2050400142,KASHI GOLEAN BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400142,KASHI GOLEAN BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050400208,SPK MIXED H & W BRANDS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400208,SPK MIXED H & W BRANDS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400233,SPECIAL K NOURISH BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400233,SPECIAL K NOURISH BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400234,BEAR NAKED H&W BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400234,BEAR NAKED H&W BARS,FINISHED_GOODS,MFG_COMPANY,BEAR NAKED,US,,,,
2050400235,KASHI JOI,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400235,KASHI JOI,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050400265,PURE FRUIT & NUT BAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400265,PURE FRUIT & NUT BAR,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,,,,
2050400266,PURE VEGGIE PROTEIN BAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400266,PURE VEGGIE PROTEIN BAR,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,,,,
2050400275,KASHI H&W BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400275,KASHI H&W BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050400276,RXBAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,X,
2050400276,RXBAR,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,X,
2050400278,HAPPY INSIDE BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400278,HAPPY INSIDE BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400279,HAPPY INSIDE MIX,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400279,HAPPY INSIDE MIX,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400280,WK RESERVE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400280,WK RESERVE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400285,KASHI PROTEIN BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400285,KASHI PROTEIN BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050400288,RXBAR CANADA,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,X,
2050400288,RXBAR CANADA,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,X,
2050409999,H & W BARS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050409999,H & W BARS PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050500143,VECTOR BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050500143,VECTOR BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050500206,MIXED WS BRANDS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050500206,MIXED WS BRANDS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050500255,OTHER NEW BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050500255,OTHER NEW BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
